Drone_ID,X (m),Y (m),Z (m)
239,1582.0,245.0,0
240,441.0,262.5,0
241,1459.5,-168.0,0
242,1270.5,7.0,0
243,339.5,350.0,0
244,840.0,360.5,0
245,-714.0,3.5,0
246,2096.5,546.0,0
247,339.5,0.0,0
248,-2016.0,462.0,0
249,-2338.0,402.5,0
250,-2352.0,437.5,0
251,1295.0,462.0,0
252,2205.0,-17.5,0
253,808.5,486.5,0
254,-1932.0,388.5,0
255,469.0,336.0,0
256,2012.5,220.5,0
257,1561.0,532.0,0
258,-780.5,206.5,0
259,374.5,490.0,0
260,-346.5,532.0,0
261,1837.5,-80.5,0
262,-479.5,444.5,0
263,-787.5,-77.0,0
264,1589.0,164.5,0
265,-1414.0,-66.5,0
266,-322.0,-73.5,0
267,-563.5,-189.0,0
268,-591.5,234.5,0
269,441.0,220.5,0
270,-2390.5,427.0,0
271,392.0,287.0,0
272,-472.5,430.5,0
273,511.0,549.5,0
274,434.0,266.0,0
275,-672.0,66.5,0
276,-801.5,367.5,0
277,2026.5,-24.5,0
278,-1211.0,3.5,0
279,413.0,-105.0,0
280,-1165.5,301.0,0
281,661.5,483.0,0
282,-1239.0,119.0,0
283,1484.0,490.0,0
284,-1319.5,315.0,0
285,465.5,416.5,0
286,-567.0,234.5,0
287,-787.5,-129.5,0
288,1316.0,451.5,0
289,-2278.5,-35.0,0
290,-696.5,539.0,0
291,343.0,234.5,0
292,714.0,423.5,0
293,-1424.5,-119.0,0
294,-2222.5,56.0,0
295,287.0,150.5,0
296,-1634.5,483.0,0
297,-2268.0,-70.0,0
298,-472.5,164.5,0
299,1200.5,161.0,0
300,-416.5,521.5,0
301,861.0,-84.0,0
302,1942.5,-168.0,0
303,-1106.0,70.0,0
304,1526.0,227.5,0
305,798.0,255.5,0
306,-1949.5,546.0,0
307,-602.0,448.0,0
308,-2362.5,434.0,0
309,402.5,35.0,0
310,-717.5,476.0,0
311,350.0,476.0,0
312,-2009.0,574.0,0
313,-1081.5,182.0,0
314,-770.0,101.5,0
315,1137.5,497.0,0
316,1365.0,-52.5,0
317,2107.0,567.0,0
318,1648.5,539.0,0
319,-2082.5,528.5,0
320,-413.0,-105.0,0
321,-661.5,-105.0,0
322,1841.0,-122.5,0
323,-1442.0,182.0,0
324,-994.0,367.5,0
325,549.5,584.5,0
326,-2093.0,-192.5,0
327,1781.5,-182.0,0
328,770.0,105.0,0
329,-1862.0,371.0,0
330,801.5,329.0,0
331,1190.0,-143.5,0
332,1417.5,567.0,0
333,759.5,-45.5,0
334,-2341.5,115.5,0
335,-714.0,-3.5,0
336,-2345.0,161.0,0
337,-1064.0,196.0,0
338,-1057.0,437.5,0
339,1302.0,357.0,0
340,-1022.0,413.0,0
341,-304.5,-157.5,0
342,-2285.5,-164.5,0
343,434.0,63.0,0
344,2187.5,-73.5,0
345,-1522.5,458.5,0
346,-959.0,472.5,0
347,798.0,38.5,0
348,784.0,-105.0,0
349,1536.5,213.5,0
350,-357.0,-56.0,0
351,-1067.5,161.0,0
352,-1211.0,199.5,0
353,-2292.5,63.0,0
354,1634.5,-161.0,0
355,-1225.0,409.5,0
356,-752.5,392.0,0
357,2142.0,521.5,0
358,-1991.5,213.5,0
359,2170.0,490.0,0
360,-766.5,3.5,0
361,2026.5,189.0,0
362,2187.5,175.0,0
363,1200.5,112.0,0
364,420.0,-112.0,0
365,-1116.5,52.5,0
366,2040.5,521.5,0
367,-1186.5,80.5,0
368,-1382.5,-140.0,0
369,-731.5,157.5,0
370,1421.0,-108.5,0
371,-2124.5,168.0,0
372,385.0,-136.5,0
373,2163.0,14.0,0
374,-1855.0,199.5,0
375,-1452.5,-35.0,0
376,2019.5,332.5,0
377,581.0,532.0,0
378,-395.5,154.0,0
379,-2341.5,28.0,0
380,1235.5,-164.5,0
381,815.5,357.0,0
382,1400.0,136.5,0
383,280.0,287.0,0
384,2082.5,224.0,0
385,1253.0,560.0,0
386,1508.5,112.0,0
387,-1137.5,-24.5,0
388,-346.5,-189.0,0
389,-1613.5,528.5,0
390,2100.0,-70.0,0
391,-1417.5,-80.5,0
392,-1382.5,360.5,0
393,871.5,-157.5,0
394,-525.0,476.0,0
395,756.0,-136.5,0
396,-784.0,17.5,0
397,-311.5,189.0,0
398,875.0,-84.0,0
399,2163.0,234.5,0
400,801.5,511.0,0
401,-2215.5,59.5,0
402,2142.0,413.0,0
403,-546.0,-45.5,0
404,2415.0,-115.5,0
405,675.5,434.0,0
